z_obs,R_int,M_planet,transit_depth,bond_albedo,contrast_ratio,index
0.0,5036550.0,2.994387e+24,5.241099e-05,0.1111111,2.348318e-10,0.5
0.0,5444429.0,3.780476e+24,6.12436e-05,0.1111111,2.749088e-10,0.631578947368421
0.0,5798936.0,4.566561e+24,6.947885e-05,0.1111111,3.123698e-10,0.763157894736842
0.0,6114697.0,5.352611e+24,7.72513e-05,0.1111111,3.478039e-10,0.8947368421052632
0.0,6400838.0,6.138665e+24,8.465052e-05,0.1111111,3.816036e-10,1.026315789473684
0.0,6663457.0,6.924718e+24,9.173926e-05,0.1111111,4.140435e-10,1.1578947368421053
0.0,6906860.0,7.710753e+24,9.856376e-05,0.1111111,4.453262e-10,1.2894736842105263
0.0,7134220.0,8.496791e+24,0.0001051596,0.1111111,4.756076e-10,1.4210526315789473
0.0,7347946.0,9.282824e+24,0.0001115547,0.1111111,5.050097e-10,1.5526315789473684
0.0,7549912.0,1.006885e+25,0.0001177714,0.1111111,5.336305e-10,1.6842105263157894
0.0,7741615.0,1.085488e+25,0.0001238281,0.1111111,5.615506e-10,1.8157894736842104
0.0,7924268.0,1.164091e+25,0.0001297401,0.1111111,5.888374e-10,1.9473684210526314
0.0,8098868.0,1.242693e+25,0.0001355204,0.1111111,6.155469e-10,2.0789473684210527
0.0,8266247.0,1.321295e+25,0.0001411799,0.1111111,6.417274e-10,2.2105263157894735
0.0,8427109.0,1.399897e+25,0.0001467281,0.1111111,6.674208e-10,2.3421052631578947
0.0,8582054.0,1.478499e+25,0.0001521733,0.1111111,6.92663e-10,2.473684210526316
0.0,8731597.0,1.557101e+25,0.0001575228,0.1111111,7.17486e-10,2.6052631578947367
0.0,8876185.0,1.635703e+25,0.0001627829,0.1111111,7.419176e-10,2.736842105263158
0.0,9016211.0,1.714304e+25,0.0001679593,0.1111111,7.659828e-10,2.8684210526315788
0.0,9152017.0,1.792905e+25,0.0001730572,0.1111111,7.897038e-10,3.0
